Round,Driver ID,Mean,StdDev,Year
18,sirotkin,23.700499999999998,0.020506096654411075,2018
18,stroll,27.98466666666667,11.664932804492848,2018
18,vandoorne,24.130000000000003,0.09192388155424921,2018
18,vettel,24.449,0.0,2018
19,bottas,22.834666666666667,0.9337913757008747,2018
19,brendon_hartley,22.804000000000002,1.0592459582174478,2018
19,ericsson,31.406,0.0,2018
19,gasly,22.8125,0.34294678887547514,2018
19,grosjean,23.0795,0.4900249993622759,2018
19,hamilton,22.334,0.09192388155425299,2018
19,hulkenberg,23.037,0.0,2018
19,kevin_magnussen,22.39,0.0,2018
19,leclerc,22.588,0.0,2018
19,max_verstappen,22.131500000000003,0.06151828996323071,2018
19,ocon,25.281,3.570889244992064,2018
19,perez,23.755,0.0,2018
19,raikkonen,22.017,0.0,2018
19,ricciardo,22.022,0.0,2018
19,sainz,22.66,0.0,2018
19,sirotkin,22.732,0.0,2018
19,stroll,23.911,0.763675323681474,2018
19,vandoorne,22.174,0.0,2018
19,vettel,22.2175,0.6229610742253485,2018
20,alonso,28.3995,7.5709923061643645,2018
20,bottas,22.841,0.16122034611053268,2018
20,brendon_hartley,23.422,0.0,2018
20,ericsson,23.377,0.0,2018
20,gasly,23.757,0.0,2018
20,grosjean,23.403,0.0,2018
20,hamilton,22.641,0.0,2018
20,kevin_magnussen,23.115,0.0,2018
20,leclerc,23.593,0.0,2018
20,max_verstappen,23.432,0.0,2018
20,ocon,29.212,2.8086281348729676,2018
20,perez,23.505,0.0,2018
20,raikkonen,22.766,0.0,2018
20,ricciardo,23.3,0.0,2018
20,sainz,23.8545,0.11950104602052813,2018
20,sirotkin,23.273,0.0,2018
20,stroll,24.445500000000003,0.22980970388562869,2018
20,vandoorne,22.618,0.0,2018
20,vettel,22.616999999999997,0.09333809511662655,2018
21,alonso,21.726,0.0,2018
21,bottas,21.4445,0.21991020894901622,2018
21,brendon_hartley,41.012,0.0,2018
21,gasly,22.493,0.0,2018
21,grosjean,22.354,0.0,2018
21,hamilton,21.283,0.0,2018
21,kevin_magnussen,21.587,0.0,2018
21,leclerc,21.828,0.0,2018
21,max_verstappen,21.057,0.0,2018
21,ocon,21.979,0.0,2018
21,perez,22.112,0.0,2018
21,ricciardo,21.061,0.0,2018
21,sainz,21.964,0.0,2018
21,sirotkin,22.755,0.0,2018
21,stroll,22.189,0.0,2018
21,vandoorne,22.317,0.0,2018
21,vettel,22.63,0.0,2018
1,albon,21.78,0.0,2019
1,bottas,22.014,0.0,2019
1,gasly,21.269,0.0,2019
1,giovinazzi,27.172,0.0,2019
1,grosjean,29.981,0.0,2019
1,hamilton,21.515,0.0,2019
1,hulkenberg,21.588,0.0,2019
1,kevin_magnussen,22.388,0.0,2019
1,kubica,25.743,6.2862481656390266,2019
1,kvyat,22.086,0.0,2019
1,leclerc,22.306,0.0,2019
1,max_verstappen,21.157,0.0,2019
1,norris,21.627,0.0,2019
1,perez,23.234,0.0,2019
1,raikkonen,23.299,0.0,2019
1,ricciardo,33.027,0.0,2019
1,russell,21.616,0.1032375900532365,2019
1,stroll,22.471,0.0,2019
1,vettel,21.995,0.0,2019
2,albon,25.2505,0.5777062402294094,2019
2,bottas,24.865,0.0,2019
2,gasly,27.557,0.0,2019
2,giovinazzi,27.725,0.0,2019
2,grosjean,32.082,0.0,2019
2,hamilton,24.2895,0.048790367901873626,2019
2,hulkenberg,25.375500000000002,0.1732411613907061,2019
2,kevin_magnussen,24.948,0.0,2019
2,kubica,24.490000000000002,0.25031580054004104,2019
2,kvyat,26.508,0.0,2019
2,leclerc,24.518,0.0,2019
2,max_verstappen,25.464,1.7889801564019647,2019
2,norris,24.175,0.0,2019
2,perez,26.967,0.23900209204105,2019
2,raikkonen,25.634,0.01838477631085135,2019
2,ricciardo,25.676,0.0,2019
2,russell,24.7725,0.19728279195104545,2019
2,sainz,35.2885,14.502052975354903,2019
2,stroll,30.469,5.471592272821504,2019
2,vettel,24.228,0.0,2019
3,albon,23.215,0.0,2019
3,bottas,22.196,0.0,2019
3,gasly,22.301,0.0,2019
3,giovinazzi,25.1605,0.0332340187157669,2019
3,grosjean,23.3905,0.18314065632731605,2019
3,hamilton,23.1205,0.6738727624707819,2019
3,hulkenberg,24.107,0.0,2019
3,kevin_magnussen,23.673499999999997,0.4108290398693825,2019
3,kubica,32.627,0.0,2019
3,kvyat,28.837666666666667,13.19719532072377,2019
3,leclerc,22.921,0.0,2019
3,max_verstappen,22.793999999999997,0.6066976182580569,2019
3,norris,35.63333333333333,14.212440512921535,2019
3,perez,23.733,0.0,2019
3,raikkonen,23.888,0.0,2019
3,ricciardo,23.506,0.0,2019
3,russell,24.332,0.0,2019
3,sainz,45.878,0.0,2019
3,stroll,23.466,0.0,2019
3,vettel,22.5325,0.30617723625377496,2019
4,albon,20.72,0.0,2019
4,bottas,20.006,0.0,2019
4,giovinazzi,20.776,0.0,2019
4,grosjean,20.906,0.0,2019
4,hamilton,19.993,0.0,2019
4,hulkenberg,21.0975,0.3217335854398779,2019
4,kevin_magnussen,20.488500000000002,0.5239661248592328,2019
4,kubica,18.936333333333334,3.353369847382379,2019
4,kvyat,21.013,0.0,2019
4,leclerc,20.119500000000002,0.3712310601229402,2019
4,max_verstappen,20.973,0.0,2019
4,norris,20.9495,1.5987684322627822,2019
4,perez,20.939,0.0,2019
4,raikkonen,21.401,0.0,2019
4,ricciardo,20.884,0.0,2019
4,russell,20.613,0.19516147160748823,2019
4,sainz,19.755,0.0,2019
4,stroll,23.099,0.0,2019
4,vettel,19.981,0.0,2019
5,albon,30.468,9.725546668439772,2019
5,bottas,22.026,0.011313708498983515,2019
5,gasly,22.563,0.0,2019
5,giovinazzi,22.944000000000003,0.7962022356160521,2019
5,grosjean,22.379,0.0,2019
5,hamilton,22.387999999999998,0.173948268171891,2019
5,hulkenberg,22.193,0.0,2019
5,kevin_magnussen,22.508499999999998,0.6837722574073943,2019
5,kubica,21.954,0.0,2019
5,kvyat,27.935,8.324061028128037,2019
5,leclerc,23.646,0.0,2019
5,max_verstappen,22.4785,0.08697413408594362,2019
