Race ID,Position,Last Name,First Name,Constructor,Points,Fastest Lap Time,Fastest Lap Avg Speed (kph),Status,Driver Code,Driver ID
11,10,Hartley,Brendon,Toro Rosso,1,1:17.681,211.974,Finished,HAR,brendon_hartley
11,11,Magnussen,Kevin,Haas F1 Team,0,1:17.697,211.930,Finished,MAG,kevin_magnussen
11,12,Sainz,Carlos,Renault,0,1:17.430,212.661,Finished,SAI,sainz
11,13,Vandoorne,Stoffel,McLaren,0,1:17.537,212.368,Finished,VAN,vandoorne
11,14,Gasly,Pierre,Toro Rosso,0,1:17.762,211.753,+1 Lap,GAS,gasly
11,15,Leclerc,Charles,Sauber,0,1:17.852,211.509,+1 Lap,LEC,leclerc
11,16,Alonso,Fernando,McLaren,0,1:17.741,211.811,Retired,ALO,alonso
11,17,Stroll,Lance,Williams,0,1:18.861,208.802,Engine,STR,stroll
11,18,Vettel,Sebastian,Ferrari,0,1:17.290,213.046,Accident,VET,vettel
11,19,Sirotkin,Sergey,Williams,0,1:18.934,208.609,Engine,SIR,sirotkin
11,20,Ricciardo,Daniel,Red Bull,0,1:18.262,210.400,Engine,RIC,ricciardo
12,1,Hamilton,Lewis,Mercedes,25,1:21.107,194.454,Finished,HAM,hamilton
12,2,Vettel,Sebastian,Ferrari,18,1:20.056,197.007,Finished,VET,vettel
12,3,Räikkönen,Kimi,Ferrari,15,1:20.292,196.428,Finished,RAI,raikkonen
12,4,Ricciardo,Daniel,Red Bull,12,1:20.012,197.115,Finished,RIC,ricciardo
12,5,Bottas,Valtteri,Mercedes,10,1:21.736,192.957,Finished,BOT,bottas
12,6,Gasly,Pierre,Toro Rosso,8,1:21.685,193.078,Finished,GAS,gasly
12,7,Magnussen,Kevin,Haas F1 Team,6,1:21.302,193.987,+1 Lap,MAG,kevin_magnussen
12,8,Alonso,Fernando,McLaren,4,1:22.090,192.125,+1 Lap,ALO,alonso
12,9,Sainz,Carlos,Renault,2,1:22.774,190.538,+1 Lap,SAI,sainz
12,10,Grosjean,Romain,Haas F1 Team,1,1:22.606,190.925,+1 Lap,GRO,grosjean
12,11,Hartley,Brendon,Toro Rosso,0,1:22.612,190.911,+1 Lap,HAR,brendon_hartley
12,12,Hülkenberg,Nico,Renault,0,1:21.261,194.085,+1 Lap,HUL,hulkenberg
12,13,Ocon,Esteban,Force India,0,1:22.876,190.303,+1 Lap,OCO,ocon
12,14,Pérez,Sergio,Force India,0,1:23.263,189.419,+1 Lap,PER,perez
12,15,Ericsson,Marcus,Sauber,0,1:23.671,188.495,+2 Laps,ERI,ericsson
12,16,Sirotkin,Sergey,Williams,0,1:23.708,188.412,+2 Laps,SIR,sirotkin
12,17,Stroll,Lance,Williams,0,1:22.660,190.800,+2 Laps,STR,stroll
12,18,Vandoorne,Stoffel,McLaren,0,1:23.077,189.843,Gearbox,VAN,vandoorne
12,19,Verstappen,Max,Red Bull,0,1:23.985,187.790,Power loss,VER,max_verstappen
12,20,Leclerc,Charles,Sauber,0,,,Suspension,LEC,leclerc
13,1,Vettel,Sebastian,Ferrari,25,1:46.644,236.435,Finished,VET,vettel
13,2,Hamilton,Lewis,Mercedes,18,1:46.721,236.264,Finished,HAM,hamilton
13,3,Verstappen,Max,Red Bull,15,1:46.946,235.767,Finished,VER,max_verstappen
13,4,Bottas,Valtteri,Mercedes,12,1:46.286,237.231,Finished,BOT,bottas
13,5,Pérez,Sergio,Force India,10,1:48.080,233.293,Finished,PER,perez
13,6,Ocon,Esteban,Force India,8,1:48.078,233.298,Finished,OCO,ocon
13,7,Grosjean,Romain,Haas F1 Team,6,1:48.283,232.856,Finished,GRO,grosjean
13,8,Magnussen,Kevin,Haas F1 Team,4,1:47.937,233.602,Finished,MAG,kevin_magnussen
13,9,Gasly,Pierre,Toro Rosso,2,1:48.588,232.202,Finished,GAS,gasly
13,10,Ericsson,Marcus,Sauber,1,1:48.694,231.976,+1 Lap,ERI,ericsson
13,11,Sainz,Carlos,Renault,0,1:48.670,232.027,+1 Lap,SAI,sainz
13,12,Sirotkin,Sergey,Williams,0,1:49.113,231.085,+1 Lap,SIR,sirotkin
13,13,Stroll,Lance,Williams,0,1:49.287,230.717,+1 Lap,STR,stroll
13,14,Hartley,Brendon,Toro Rosso,0,1:48.756,231.843,+1 Lap,HAR,brendon_hartley
13,15,Vandoorne,Stoffel,McLaren,0,1:48.956,231.418,+1 Lap,VAN,vandoorne
13,16,Ricciardo,Daniel,Red Bull,0,1:49.242,230.812,Retired,RIC,ricciardo
13,17,Räikkönen,Kimi,Ferrari,0,1:54.320,220.559,Brakes,RAI,raikkonen
13,18,Leclerc,Charles,Sauber,0,,,Accident,LEC,leclerc
13,19,Alonso,Fernando,McLaren,0,,,Accident,ALO,alonso
13,20,Hülkenberg,Nico,Renault,0,,,Accident,HUL,hulkenberg
14,1,Hamilton,Lewis,Mercedes,25,1:22.497,252.794,Finished,HAM,hamilton
