Race ID,Year,Position,Driver ID,Last Name,First Name,Constructor,Constructor ID,Points,Status,Fastest Lap Time,Fastest Lap Avg Speed (kph),Total Points,Wins,Total Wins
12,2020,8,ocon,Ocon,Esteban,Renault,renault,4,+1 Lap,1:20.859,207.160,263.0,0,0.0
12,2020,9,ricciardo,Ricciardo,Daniel,Renault,renault,2,+1 Lap,1:20.906,207.040,1936.0,0,12.0
12,2020,10,vettel,Vettel,Sebastian,Ferrari,ferrari,1,+1 Lap,1:20.731,207.489,5428.0,0,100.0
12,2020,11,raikkonen,Räikkönen,Kimi,Alfa Romeo,alfa,0,+1 Lap,1:21.058,206.652,3426.0,0,41.0
12,2020,12,albon,Albon,Alexander,Red Bull,red_bull,0,+1 Lap,1:19.890,209.673,156.0,0,0.0
12,2020,13,norris,Norris,Lando,McLaren,mclaren,0,+1 Lap,1:19.360,211.073,114.0,0,0.0
12,2020,14,russell,Russell,George,Williams,williams,0,+1 Lap,1:20.882,207.101,0.0,0,0.0
12,2020,15,giovinazzi,Giovinazzi,Antonio,Alfa Romeo,alfa,0,+1 Lap,1:21.893,204.544,17.0,0,0.0
12,2020,16,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,+1 Lap,1:21.460,205.632,239.0,0,0.0
12,2020,17,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,+1 Lap,1:21.664,205.118,735.0,0,0.0
12,2020,18,latifi,Latifi,Nicholas,Williams,williams,0,+2 Laps,1:21.859,204.629,0.0,0,0.0
12,2020,19,kvyat,Kvyat,Daniil,AlphaTauri,alphatauri,0,+2 Laps,1:20.449,208.216,317.0,0,0.0
12,2020,20,stroll,Stroll,Lance,Racing Point,racing_point,0,Collision damage,1:21.694,205.043,164.0,0,0.0
13,2020,1,hamilton,Hamilton,Lewis,Mercedes,mercedes,26,Finished,1:15.484,234.121,6323.0,1,155.0
13,2020,2,bottas,Bottas,Valtteri,Mercedes,mercedes,18,Finished,1:15.902,232.831,2202.0,0,12.0
13,2020,3,ricciardo,Ricciardo,Daniel,Renault,renault,15,Finished,1:17.552,227.878,1951.0,0,12.0
13,2020,4,kvyat,Kvyat,Daniil,AlphaTauri,alphatauri,12,Finished,1:17.666,227.543,329.0,0,0.0
13,2020,5,leclerc,Leclerc,Charles,Ferrari,ferrari,10,Finished,1:18.173,226.067,388.0,0,2.0
13,2020,6,perez,Pérez,Sergio,Racing Point,racing_point,8,Finished,1:18.084,226.325,1130.0,0,0.0
13,2020,7,sainz,Sainz,Carlos,McLaren,mclaren,6,Finished,1:18.118,226.226,450.0,0,0.0
13,2020,8,norris,Norris,Lando,McLaren,mclaren,4,Finished,1:18.069,226.368,118.0,0,0.0
13,2020,9,raikkonen,Räikkönen,Kimi,Alfa Romeo,alfa,2,Finished,1:18.088,226.313,3428.0,0,41.0
13,2020,10,giovinazzi,Giovinazzi,Antonio,Alfa Romeo,alfa,1,Finished,1:18.794,224.286,18.0,0,0.0
13,2020,11,latifi,Latifi,Nicholas,Williams,williams,0,Finished,1:18.719,224.499,0.0,0,0.0
13,2020,12,vettel,Vettel,Sebastian,Ferrari,ferrari,0,Finished,1:17.767,227.248,5428.0,0,100.0
13,2020,13,stroll,Stroll,Lance,Racing Point,racing_point,0,Finished,1:18.360,225.528,164.0,0,0.0
13,2020,14,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,Finished,1:18.822,224.206,735.0,0,0.0
13,2020,15,albon,Albon,Alexander,Red Bull,red_bull,0,Finished,1:16.177,231.991,156.0,0,0.0
13,2020,16,russell,Russell,George,Williams,williams,0,Accident,1:18.811,224.237,0.0,0,0.0
13,2020,17,max_verstappen,Verstappen,Max,Red Bull,red_bull,0,Puncture,1:17.637,227.628,1531.0,0,12.0
13,2020,18,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,Illness,1:19.273,222.930,239.0,0,0.0
13,2020,19,ocon,Ocon,Esteban,Renault,renault,0,Gearbox,1:19.606,221.998,263.0,0,0.0
