Race ID,Position,Driver ID,Last Name,First Name,Constructor,Constructor ID,Points,Status,Fastest Lap Time,Fastest Lap Avg Speed (kph)
19,20,alonso,Alonso,Fernando,McLaren,mclaren,0,Engine,1:24.197,184.025
20,1,hamilton,Hamilton,Lewis,Mercedes,mercedes,25,Finished,1:11.795,216.065
20,2,max_verstappen,Verstappen,Max,Red Bull,red_bull,18,Finished,1:11.578,216.720
20,3,raikkonen,Räikkönen,Kimi,Ferrari,ferrari,15,Finished,1:11.769,216.143
20,4,ricciardo,Ricciardo,Daniel,Red Bull,red_bull,12,Finished,1:11.343,217.434
20,5,bottas,Bottas,Valtteri,Mercedes,mercedes,10,Finished,1:10.540,219.909
20,6,vettel,Vettel,Sebastian,Ferrari,ferrari,8,Finished,1:10.831,219.005
20,7,leclerc,Leclerc,Charles,Sauber,sauber,6,Finished,1:12.082,215.204
20,8,grosjean,Grosjean,Romain,Haas F1 Team,haas,4,Finished,1:12.362,214.372
20,9,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,2,Finished,1:12.206,214.835
20,10,perez,Pérez,Sergio,Force India,force_india,1,+1 Lap,1:12.472,214.046
20,11,brendon_hartley,Hartley,Brendon,Toro Rosso,toro_rosso,0,+1 Lap,1:12.949,212.647
20,12,sainz,Sainz,Carlos,Renault,renault,0,+1 Lap,1:12.169,214.945
20,13,gasly,Gasly,Pierre,Toro Rosso,toro_rosso,0,+1 Lap,1:13.822,210.132
20,14,vandoorne,Vandoorne,Stoffel,McLaren,mclaren,0,+1 Lap,1:12.968,212.591
20,15,ocon,Ocon,Esteban,Force India,force_india,0,+1 Lap,1:12.352,214.401
20,16,sirotkin,Sirotkin,Sergey,Williams,williams,0,+2 Laps,1:14.262,208.887
20,17,alonso,Alonso,Fernando,McLaren,mclaren,0,+2 Laps,1:12.643,213.542
20,18,stroll,Stroll,Lance,Williams,williams,0,+2 Laps,1:11.751,216.197
20,19,hulkenberg,Hülkenberg,Nico,Renault,renault,0,Overheating,1:14.029,209.544
20,20,ericsson,Ericsson,Marcus,Sauber,sauber,0,Collision,1:15.281,206.059
21,1,hamilton,Hamilton,Lewis,Mercedes,mercedes,25,Finished,1:41.357,197.267
21,2,vettel,Vettel,Sebastian,Ferrari,ferrari,18,Finished,1:40.867,198.225
21,3,max_verstappen,Verstappen,Max,Red Bull,red_bull,15,Finished,1:41.909,196.198
21,4,ricciardo,Ricciardo,Daniel,Red Bull,red_bull,12,Finished,1:41.249,197.477
21,5,bottas,Bottas,Valtteri,Mercedes,mercedes,10,Finished,1:40.953,198.056
21,6,sainz,Sainz,Carlos,Renault,renault,8,Finished,1:41.351,197.278
