Constructor,Race ID,Year,Constructor ID,Status,Status_value,StatusComponent,Round,Mean,StdDev,PitStopComponent,ConstructorConfidence
Alpine F1 Team,8,2021,alpine,+1 Lap +1 Lap,1.6,-0.059882803531030954,8,21.184,0.0,-0.102,0.006
Alpine F1 Team,8,2022,alpine,Finished Finished,2.0,0.853884420720261,8,21.604,0.0,-0.102,-0.087
Alpine F1 Team,9,2021,alpine,+1 Lap Collision,1.4,-0.5167664156566775,9,22.663,0.0,-0.103,0.053
Alpine F1 Team,9,2022,alpine,Finished Finished,2.0,0.853884420720261,9,24.637,1.0957,-0.105,-0.09
Alpine F1 Team,10,2021,alpine,Finished Finished,2.0,0.853884420720261,10,32.708,1.8576,-0.11,-0.094
Alpine F1 Team,10,2022,alpine,Finished Fuel pump,1.1,-1.2020918338451463,10,44.866,6.6001,-0.113,0.136
Alpine F1 Team,11,2021,alpine,Finished Finished,2.0,0.853884420720261,11,31.167,10.1187,-0.114,-0.097
Alpine F1 Team,11,2022,alpine,Finished +1 Lap,1.8,0.39700080859461506,11,21.742,0.1252,-0.019,-0.008
Alpine F1 Team,12,2022,alpine,Finished Finished,2.0,0.853884420720261,12,40.636,0.0,-0.108,-0.092
Alpine F1 Team,13,2021,alpine,+1 Lap +1 Lap,1.6,-0.059882803531030954,13,19.129,0.0,-0.101,0.006
Alpine F1 Team,13,2022,alpine,+1 Lap +1 Lap,1.6,-0.059882803531030954,13,22.832,0.0,-0.103,0.006
Alpine F1 Team,14,2021,alpine,Finished Finished,2.0,0.853884420720261,14,27.565,0.0,-0.105,-0.09
Alpine F1 Team,14,2022,alpine,Finished Finished,2.0,0.853884420720261,14,23.404,0.4642,-0.091,-0.078
Alpine F1 Team,15,2021,alpine,Finished +1 Lap,1.8,0.39700080859461506,15,30.029,0.0,-0.106,-0.042
Alpine F1 Team,15,2022,alpine,Finished Finished,2.0,0.853884420720261,15,19.516,0.0,-0.101,-0.086
Alpine F1 Team,16,2021,alpine,+1 Lap +1 Lap,1.6,-0.059882803531030954,16,29.116,0.0,-0.105,0.006
Alpine F1 Team,16,2022,alpine,Finished Water pressure,1.1,-1.2020918338451463,16,24.336,0.0,-0.104,0.125
Alpine F1 Team,17,2021,alpine,Rear wing Mechanical,0.4,-2.801184476284908,17,28.035,6.0631,-0.113,0.317
Alpine F1 Team,18,2021,alpine,+1 Lap +1 Lap,1.6,-0.059882803531030954,18,23.542,0.0,-0.103,0.006
Alpine F1 Team,18,2022,alpine,Finished Finished,2.0,0.853884420720261,18,10.819,6.7667,-0.111,-0.095
Alpine F1 Team,19,2021,alpine,+1 Lap +1 Lap,1.6,-0.059882803531030954,19,18.518,0.0,-0.1,0.006
Alpine F1 Team,19,2022,alpine,Finished Finished,2.0,0.853884420720261,19,28.302,5.5992,-0.113,-0.096
Alpine F1 Team,20,2021,alpine,Finished Finished,2.0,0.853884420720261,20,25.754,0.0,-0.104,-0.089
