Constructor,Race ID,Year,status_value,StatusComponent,Round,Mean,StdDev,intermediate,PitStopComponent,ConstructorConfidance
Force India,5,2021,-1.0,0.25,5,24.2415,0.0,24.2415,0.037,-0.037
Force India,5,2022,-1.0,0.25,5,18.7475,0.030405591591021,0.5700288283526661,1.58,-1.58
Force India,6,2018,2.0,1.0,6,27.021000000000004,0.0,27.021000000000004,0.033,0.066
Force India,6,2019,2.0,1.0,6,28.463,0.0,28.463,0.032,0.064
Force India,6,2020,2.0,1.0,6,22.5035,0.0,22.5035,0.04,0.08
Force India,6,2021,2.0,1.0,6,18.5755,4.664783435487653,86.6506847059009,0.01,0.02
Force India,6,2022,2.0,1.0,6,22.0845,0.0,22.0845,0.041,0.082
Force India,7,2018,-0.4,0.4,7,24.6275,0.13010764773832484,3.204226094675595,0.281,-0.11240000000000001
Force India,7,2019,-0.4,0.4,7,24.076,0.0,24.076,0.037,-0.0148
Force India,7,2020,-0.4,0.4,7,23.740000000000002,0.0,23.740000000000002,0.038,-0.0152
Force India,7,2021,-0.4,0.4,7,29.944499999999998,0.0,29.944499999999998,0.03,-0.012
Force India,7,2022,-0.4,0.4,7,24.673750000000002,0.0449012806053466,1.1078829723361707,0.813,-0.3252
Force India,8,2019,-1.4,0.15000000000000002,8,37.286,0.0,37.286,0.024,-0.0336
Force India,8,2020,-1.4,0.15000000000000002,8,400.47475,529.5992910315543,212091.14367603895,0.0,-0.0
Force India,8,2021,-1.4,0.15000000000000002,8,21.7285,0.8895403307326781,19.328377076324998,0.047,-0.0658
Force India,8,2022,-1.4,0.15000000000000002,8,22.751,0.3641599923110724,8.285003985069208,0.109,-0.15259999999999999
Force India,9,2018,-0.4,0.4,9,22.695,0.0,22.695,0.04,-0.016
Force India,9,2019,-0.4,0.4,9,22.33,0.0,22.33,0.04,-0.016
Force India,9,2020,-0.4,0.4,9,373.497,503.46568505907146,188042.922972508,0.0,-0.0
Force India,9,2021,-0.4,0.4,9,21.735,0.0,21.735,0.041,-0.0164
Force India,9,2022,-0.4,0.4,9,24.8145,1.229658692483408,30.51336562462953,0.03,-0.012
Force India,10,2018,2.0,1.0,10,29.076749999999997,0.0654073772597558,1.9018339567376044,0.473,0.946
Force India,10,2019,2.0,1.0,10,32.34766666666666,4.980869033947119,161.1194912204434,0.006,0.012
Force India,10,2020,2.0,1.0,10,29.835,0.0,29.835,0.03,0.06
